game_count,p1,p1_score,p2,p2_score
969,greedy,20,random,44
970,greedy,26,random,37
971,greedy,29,random,55
972,greedy,18,random,39
973,greedy,25,random,32
974,greedy,21,random,29
975,greedy,22,random,32
976,greedy,24,random,33
977,greedy,12,random,47
978,greedy,13,random,53
979,greedy,18,random,27
980,greedy,12,random,32
981,greedy,16,random,50
982,greedy,27,random,38
983,greedy,9,random,36
984,greedy,19,random,41
985,greedy,9,random,24
986,greedy,14,random,42
987,greedy,14,random,54
988,greedy,18,random,43
989,greedy,11,random,43
990,greedy,17,random,51
991,greedy,13,random,48
992,greedy,18,random,32
993,greedy,30,random,45
994,greedy,18,random,24
995,greedy,23,random,48
996,greedy,20,random,57
997,greedy,18,random,51
998,greedy,22,random,24
999,greedy,25,random,46
1000,greedy,17,random,51
1001,greedy,30,random,37
1002,greedy,22,random,32
1003,greedy,13,random,35
1004,greedy,19,random,50
1005,greedy,25,random,33
1006,greedy,13,random,49
1007,greedy,24,random,39
1008,greedy,26,random,32
1009,greedy,25,random,28
1010,greedy,18,random,33
1011,greedy,21,random,45
1012,greedy,19,random,27
1013,greedy,12,random,69
1014,greedy,21,random,47
1015,greedy,13,random,27
1016,greedy,16,random,52
1017,greedy,20,random,50
1018,greedy,25,random,51
1019,greedy,18,random,28
1020,greedy,19,random,52
1021,greedy,16,random,23
1022,greedy,26,random,39
1023,greedy,24,random,28
1024,greedy,24,random,33
1025,greedy,13,random,38
1026,greedy,18,random,28
1027,greedy,24,random,33
1028,greedy,15,random,46
1029,greedy,27,random,29
1030,greedy,25,random,23
1031,greedy,25,random,37
1032,greedy,23,random,29
1033,greedy,18,random,32
1034,greedy,19,random,32
1035,greedy,17,random,29
1036,greedy,17,random,45
1037,greedy,19,random,48
1038,greedy,20,random,55
1039,greedy,13,random,32
1040,greedy,22,random,56
1041,greedy,20,random,32
1042,greedy,24,random,22
1043,greedy,25,random,46
1044,greedy,18,random,62
1045,greedy,29,random,28
1046,greedy,23,random,44
1047,greedy,18,random,51
1048,greedy,25,random,38
1049,greedy,26,random,48
1050,greedy,25,random,23
1051,greedy,16,random,31
1052,greedy,27,random,36
1053,greedy,25,random,41
1054,greedy,14,random,49
1055,greedy,22,random,23
1056,greedy,16,random,38
1057,greedy,24,random,32
1058,greedy,26,random,49
1059,greedy,25,random,38
1060,greedy,7,random,60
1061,greedy,24,random,39
1062,greedy,19,random,58
1063,greedy,17,random,28
1064,greedy,24,random,57
1065,greedy,13,random,41
1066,greedy,14,random,55
1067,greedy,17,random,52
1068,greedy,12,random,33
1069,greedy,17,random,43
1070,greedy,23,random,50
1071,greedy,26,random,30
1072,greedy,24,random,37
1073,greedy,18,random,33
